##########################################################################################################
# This comment is auto generated by data_analysis.py script from https://github.com/lazicdanilo/LPM01A-lib
# It is used for caching the already calculated data. This comment should not be modified.
# If removed it will be re-created on next run of the script.
#
# This will only be generated if the calculation is done for the
# whole CSV file (flags -s, --start and -e, --end are not used)
#
# Generated on: 03-03-2024_10:42:08
# Calculation time window: 4.717438 s (4717.437999999999 ms)
# Number of values: 4720
# Average current consumption: 7.347662577893055e-06 Ah (0.007347662577893055 mAh)
##########################################################################################################
Current (uA),rx timestamp (us),board timestamps (ms)
14.06,0,281000
13.33,410,281000
13.33,1373,281000
13.33,1784,281000
15.41,4001,281000
13.34,4410,281000
13.33,5375,281000
14.13,5783,281000
15.59,7999,281000
15.44,8433,281000
13.33,9373,281000
15.76,9783,281000
15.77,12000,281000
15.39,12409,281000
13.33,13374,281000
13.33,13783,281000
13.33,16006,281000
15.49,16417,281000
15.49,17375,281000
14.83,17784,281000
13.33,20002,281000
15.7,20412,281000
15.46,21374,281000
15.2,21784,281000
15.32,24001,281000
13.42,24412,281000
13.33,25374,281000
15.74,25784,281000
13.33,28003,281000
13.33,28441,281000
13.33,29374,281000
13.33,29784,281000
13.36,32001,281000
13.39,32411,281000
13.33,33375,281000
13.33,33785,281000
13.33,36002,281000
13.33,36411,281000
13.34,37374,281000
13.33,37782,281000
13.33,40008,281000
13.59,40419,281000
14.09,41377,281000
15.34,41996,281000
15.64,44014,281000
13.33,44427,281000
13.33,45378,281000
15.7,45787,281000
13.33,48001,281000
13.33,48440,281000
15.65,49374,281000
13.9,49782,281000
15.7,52001,281000
15.42,52409,281000
13.33,53376,281000
13.33,53787,281000
13.33,56001,281000
13.33,56411,281000
13.33,57375,281000
13.33,57784,281000
13.33,60000,281000
13.33,60409,281000
13.33,61375,281000
13.33,61785,281000
15.62,62749,281000
13.33,63159,281000
13.33,66851,282000
13.33,67268,282000
13.33,67678,282000
13.84,68086,282000
13.33,69382,282000
13.33,69791,282000
13.33,70751,282000
13.34,71160,282000
13.33,73379,282000
13.41,73788,282000
13.33,74779,282000
13.33,75191,282000
13.33,77379,282000
13.33,77788,282000
13.33,78778,282000
13.34,79188,282000
13.33,81378,282000
13.33,81786,282000
13.33,82751,282000
14.14,83159,282000
13.33,85377,282000
14.98,85786,282000
13.42,86753,282000
13.33,87162,282000
13.33,89379,282000
13.33,89792,282000
15.63,90756,282000
15.89,91167,282000
13.33,93379,282000
13.33,93789,282000
13.33,94770,282000
13.33,95181,282000
13.33,97376,282000
13.33,97785,282000
15.69,98779,282000
13.33,99188,282000
13.33,101379,282000
13.33,101791,282000
13.33,102750,282000
13.33,103160,282000
13.33,105377,282000
13.33,105786,282000
13.33,106754,282000
16.07,107162,282000
13.33,109379,282000
13.33,109789,282000
14.91,110751,282000
15.39,111161,282000
15.57,113376,282000
15.03,113785,282000
15.77,114771,282000
15.72,117389,282000
14.06,117804,282000
14.14,118778,282000
15.87,119192,282000
13.33,121381,282000
13.36,121791,282000
13.33,122754,282000
13.33,123162,282000
13.33,125378,282000
15.78,125788,282000
13.33,126751,282000
13.33,127160,282000
13.33,129379,282000
13.33,129790,282000
13.33,130752,282000
13.33,131161,282000
13.33,133378,282000
13.34,133788,282000
13.33,134769,282000
13.33,135179,282000
15.5,137376,282000
14.04,137785,282000
13.34,138751,282000
15.66,139187,282000
15.59,141377,282000
13.41,141789,282000
13.33,142757,282000
13.33,143168,282000
13.34,145377,282000
13.33,145788,282000
13.33,146750,282000
13.33,147160,282000
13.33,148126,282000
15.38,148537,282000
13.33,150751,282000
13.33,151164,282000
14.92,152126,282000
13.33,152536,282000
13.33,154767,282000
13.33,155179,282000
13.33,156129,282000
13.41,156538,282000
13.33,158749,282000
13.33,159186,282000
13.33,160128,282000
13.33,160538,282000
13.33,162754,282000
13.33,163163,282000
13.33,164127,282000
13.33,164536,282000
13.33,166752,282000
13.33,167161,282000
13.33,168129,282000
13.33,168540,282000
13.33,170754,282000
13.33,171169,282000
13.33,172127,282000
13.33,172537,282000
13.33,174773,282000
13.33,175184,282000
13.33,176128,282000
13.33,176538,282000
13.33,178754,282000
13.33,179189,282000
13.34,180130,282000
13.33,180541,282000
13.33,182755,282000
13.33,183164,282000
13.33,184127,282000
13.33,184537,282000
13.33,186751,282000
13.33,187160,282000
13.33,188127,282000
13.33,188535,282000
13.57,190754,282000
13.33,191167,282000
15.55,192134,282000
13.33,192544,282000
13.33,194776,282000
13.33,195187,282000
13.33,196128,282000
13.33,196537,282000
13.33,198753,282000
13.33,199163,282000
13.33,200126,282000
15.57,200536,282000
13.33,202755,282000
13.33,203164,282000
13.33,204127,282000
14.13,204536,282000
13.33,207060,282000
13.33,207704,282000
13.33,208341,282000
13.33,208977,282000
13.33,210978,282000
13.33,211617,282000
13.33,212348,282000
13.33,212984,282000
13.36,215003,282000
13.33,215644,282000
14.32,216349,282000
13.33,216987,282000
13.33,218979,282000
13.33,219660,282000
13.33,220357,282000
13.33,220997,282000
13.33,222976,282000
13.33,223612,282000
13.33,224350,282000
13.33,225018,282000
13.33,226975,282000
13.33,227611,282000
13.36,228346,282000
14.08,228983,282000
13.33,230979,282000
13.33,231615,282000
13.33,232349,282000
13.33,232988,282000
13.33,233726,282000
13.33,234363,282000
13.33,236349,282000
13.33,236985,282000
13.33,237724,282000
13.58,238358,282000
13.33,240350,282000
13.33,240989,282000
13.33,241721,282000
15.6,242361,282000
13.41,244353,282000
16.02,245051,282000
15.9,245731,282000
15.97,246370,282000
13.34,248351,282000
14.93,248987,282000
13.33,249762,282000
13.33,250402,282000
13.33,252349,282000
15.59,252987,282000
13.33,253725,282000
13.33,256350,282000
13.33,256986,282000
13.33,257726,282000
15.71,258361,282000
13.33,260351,282000
14.88,260988,282000
13.33,261724,282000
13.33,262358,282000
14.07,264348,282000
13.33,265014,282000
13.33,265726,282000
13.34,266364,282000
13.33,268354,282000
13.33,268993,282000
13.33,269726,282000
14.88,270402,282000
13.33,272353,282000
13.33,272989,282000
13.56,273724,282000
13.33,274360,282000
14.05,276350,282000
15.38,276987,282000
13.33,277726,282000
15.91,278362,282000
15.6,280387,282000
14.73,281024,282000
13.33,281727,282000
13.33,282364,282000
13.41,284349,282000
13.33,285012,282000
14.16,285723,282000
13.33,286358,282000
13.33,288350,282000
13.33,288988,282000
13.35,289724,282000
15.47,290402,282000
15.14,292355,282000
14.12,292995,282000
13.33,293728,282000
13.33,294365,282000
13.57,296353,282000
13.33,296991,282000
15.59,297726,282000
13.33,298362,282000
13.33,300389,282000
13.33,301029,282000
15.5,301726,282000
15.37,302365,282000
13.33,304350,282000
13.33,305093,282000
13.33,305733,282000
13.33,306370,282000
13.41,308130,282000
13.62,308540,282000
13.59,309499,282000
13.33,309908,282000
13.33,312130,282000
13.58,312540,282000
14.77,313504,282000
13.34,313914,282000
13.33,316127,282000
13.33,316538,282000
13.33,317502,282000
13.33,317911,282000
13.34,318879,282000
13.36,319287,282000
13.33,321506,282000
13.33,321915,282000
13.33,322880,282000
13.33,323290,282000
13.33,325504,282000
13.33,325915,282000
15.78,326878,282000
13.33,327288,282000
13.33,329501,282000
13.33,329908,282000
13.33,330879,282000
13.33,331289,282000
13.33,333504,282000
13.33,333911,282000
15.85,334906,282000
13.36,335317,282000
13.33,337504,282000
13.42,337914,282000
15.53,338877,282000
13.33,339287,282000
13.33,341506,282000
14.85,341917,282000
13.36,342883,282000
15.77,343294,282000
13.33,345504,282000
13.41,345913,282000
14.17,346877,282000
13.39,347287,282000
13.33,349503,282000
13.41,349913,282000
13.33,350880,282000
13.33,351289,282000
13.36,353508,282000
13.33,353917,282000
13.33,354900,282000
13.33,355310,282000
13.33,357505,282000
13.33,357915,282000
14.98,358878,282000
15.8,359287,282000
13.33,361506,282000
15.57,361916,282000
13.33,362877,282000
13.33,363285,282000
13.33,365503,282000
13.33,365911,282000
15.85,366876,282000
13.36,367283,282000
13.33,369506,282000
13.33,369913,282000
13.33,370880,282000
15.78,371291,282000
13.33,373504,282000
15.86,373914,282000
13.33,374898,282000
15.47,375307,282000
13.33,377506,282000
13.33,377916,282000
15.81,378877,282000
15.69,379286,282000
13.33,381506,282000
13.56,381915,282000
15.66,382877,282000
13.42,383504,282000
13.61,385516,282000
13.6,385928,282000
15.62,386878,282000
13.33,387288,282000
13.33,389503,282000
13.42,389914,282000
15.74,390908,282000
13.33,391318,282000
15.37,393511,282000
13.33,394902,282000
15.87,395313,282000
15.5,397505,282000
15.62,397915,282000
13.33,398877,282000
13.33,399286,282000
13.33,401504,282000
16.0,401915,282000
13.33,402876,282000
15.34,403284,282000
13.33,404250,282000
16.04,404660,282000
13.33,406882,282000
13.33,407292,282000
13.33,408254,282000
13.33,408665,282000
13.33,410905,282000
13.33,411316,282000
13.33,412255,282000
15.65,412664,282000
13.33,414898,282000
13.33,415309,282000
13.33,416252,282000
13.33,416662,282000
13.33,418881,282000
13.33,419292,282000
14.84,420252,282000
15.69,420661,282000
13.33,422880,282000
13.36,423292,282000
13.34,424256,282000
15.51,424667,282000
13.33,426880,282000
13.33,427292,282000
13.33,428254,282000
13.33,428664,282000
15.7,430904,282000
15.56,431316,282000
15.49,432254,282000
13.33,432664,282000
15.55,434898,282000
13.59,435308,282000
13.41,436253,282000
15.61,436663,282000
15.79,438878,282000
13.33,439289,282000
13.49,440252,282000
15.58,440662,282000
13.33,442882,282000
15.3,443294,282000
15.13,444257,282000
13.33,444669,282000
15.75,446881,282000
15.9,447290,282000
13.33,448252,282000
